sample_size,feature_number,mean_auc_train,mean_auc_test,mean_prauc_train,mean_prauc_test
100,3,0.8033469387755101,0.6091111111111112,0.7754664387640504,0.5847393851004037
100,5,0.8910612244897959,0.6395555555555557,0.8990889550812641,0.6354602370981752
100,10,0.9319183673469386,0.6591111111111111,0.9346996391998544,0.6775103472850099
100,20,0.9541224489795919,0.639111111111111,0.9559467539726898,0.6524406472935256
100,30,0.9680816326530612,0.6453333333333333,0.9698721045056351,0.6569212251049692
100,40,0.9759183673469389,0.6537777777777777,0.9780029375875691,0.6611796411484224
100,46,0.9786938775510203,0.6306666666666667,0.9803890256224774,0.6528005056359183
300,3,0.7651292517006801,0.6977283950617285,0.7534530194713644,0.6559507880938267
300,5,0.8233741496598638,0.729604938271605,0.8290721166335926,0.6927404403053226
300,10,0.8516643990929704,0.7420987654320987,0.8513286480803561,0.7059207124937805
300,20,0.8626349206349208,0.7412345679012345,0.8678488703182883,0.7025636608685376
300,30,0.8847709750566894,0.738320987654321,0.8896908262322011,0.7126443806063223
300,40,0.8967981859410431,0.732,0.9027077178568831,0.7095833927080466
300,46,0.9020770975056689,0.7426172839506172,0.9081649159787292,0.7187214089551653
500,3,0.7619575510204082,0.7153244444444444,0.7395126214904035,0.6787539900381264
500,5,0.7998138775510204,0.7328888888888889,0.7964666114607907,0.7160974008414696
500,10,0.8230024489795917,0.7416444444444446,0.8148185444982685,0.7223110361049019
500,20,0.8327804081632653,0.74168,0.827114290392184,0.7255594727265272
500,30,0.8563297959183671,0.7439644444444443,0.8561862024090232,0.7159940596817566
500,40,0.8628995918367348,0.7374044444444444,0.8643864791268883,0.711026387148843
500,46,0.8653420408163266,0.7403555555555557,0.8655307924980071,0.712587431802719
1000,3,0.7379759183673469,0.7229644444444443,0.7154645355973769,0.6689590712032046
1000,5,0.7752089795918368,0.7408222222222222,0.7654916971237276,0.7071659405385271
1000,10,0.7976514285714286,0.7501399999999999,0.7850619654575735,0.7264898084145568
1000,20,0.8063126530612245,0.7500644444444444,0.7981092500733495,0.726477476394747
1000,30,0.8182130612244899,0.7552822222222222,0.812730680211774,0.7318380175742176
1000,40,0.8262832653061224,0.7502777777777777,0.822956974007808,0.7264921621476915
1000,46,0.8281179591836734,0.7481288888888888,0.8241745495067793,0.726517933014777
3000,3,0.7249085714285715,0.7263923456790123,0.6878265329107272,0.6738841419966419
3000,5,0.74969052154195,0.7482419753086419,0.7268540360700609,0.7145640762472123
3000,10,0.7655410884353742,0.757919012345679,0.740009618330563,0.7256889391909624
3000,20,0.7697924263038549,0.7597503703703704,0.748245098609501,0.7327112932991094
3000,30,0.7769498412698413,0.7611762962962962,0.7572403501963084,0.7344554086860164
3000,40,0.7782404535147391,0.7613190123456791,0.7603829561082284,0.7358697794080402
3000,46,0.7799241269841269,0.7608933333333333,0.7623221573627158,0.7337932568046162
5000,3,0.7291852734693878,0.7256255111111111,0.6880353486869109,0.6694673159915392
5000,5,0.7528142367346938,0.7485629333333332,0.7247604505635217,0.7126850541775308
5000,10,0.7676302857142858,0.7614946666666667,0.7392421365579753,0.729280408460889
5000,20,0.7722285551020408,0.7633734222222222,0.7458201403420747,0.7314733798864663
5000,30,0.7770386775510204,0.7644486222222221,0.7518812585042258,0.7315653285031608
5000,40,0.777690693877551,0.7646834666666666,0.7538732190771351,0.7324489758798751
5000,46,0.7774555428571428,0.7625666666666666,0.7532516017351129,0.7300645410647781
7000,3,0.7254238150770512,0.7217063038548753,0.6787532321143067,0.667809951023287
7000,5,0.7484766014160767,0.7449692970521541,0.717929000475748,0.7078226637557579
7000,10,0.7647930945439401,0.7546144217687075,0.7334747276843839,0.7214738966970067
7000,20,0.7680573427738443,0.7584367346938775,0.7403562095188978,0.7288416778785403
7000,30,0.7713773677634318,0.7588332879818595,0.7445037240030012,0.7292800344626256
7000,40,0.7731627905039566,0.7594710204081632,0.747194530552882,0.7289475336940061
7000,46,0.771924139941691,0.7587360090702947,0.746537667888943,0.727955540416775
10000,3,0.7255012612244898,0.7218416444444445,0.6776883913531269,0.6669782729162324
10000,5,0.7486486408163266,0.740164288888889,0.7165187602241463,0.7054803526972429
10000,10,0.7613703428571429,0.7524214,0.7304028593899035,0.7204156727413756
10000,20,0.7645051591836735,0.7543183111111111,0.7366914865275895,0.7239644189181567
10000,30,0.7672438571428571,0.7550574888888889,0.7401520326860223,0.7244067994315231
10000,40,0.7676402571428571,0.755063,0.740768028200297,0.7255611739555412
10000,46,0.767685763265306,0.7546639555555555,0.7412767228124559,0.725033291957986
